Title,Source,Date,Body
Alumni Association increases community involvement,Houstonian: Sam Houston State University,"January 1, 1970 Thursday","""The events that we set up for Homecoming, the number one objective was what can we do to keep students here, provide fun activities for them, as well as bring alumni back to campus,"" said Hayes.The first event will be the Sam Jam Carnival and M4 Simulator Wednesday night at 8 p.m. in the Johnson Coliseum parking lot. On Oct. 25, there will be four more events focusing on alumni. Beginning at 11 a.m., there will be a Golden Circle Luncheon in the LSC ballroom, followed by the dedication of the Alumni garden at 2 p.m. Night events will be held at the LSC ballroom including the Distinguished Alumni Gala Reception at 6 p.m. and the Gala Dinner at 7 p.m.It's a very intimate setting,"" said Chrissy Price of Alumni Relations.Game day will be different from past SHSU Homecomings. The date itself is earlier in the year and the parade will no longer be held during the week, but on Saturday.""Dr. Gaertner had set up a traditions committee and just to explore some of the traditions that Sam Houston has had and to see if we can start to incorporate them with some of our events. One of them is to move the parade to Saturday,"" said Hayes.Hayes served as a homecoming parade judge last year and was astonished that community members at neighboring businesses had no idea that the parade was occurring. He was approached and asked what was going on by a community member.""I informed her that this was SHSU Homecoming parade and right then I said to myself, 'this is the problem.' There's no reason why we can't make a bigger parade and get the community involved,"" said Hayes.The theme ""Paint the Town Orange"" can be taken literal since student organizations are encouraged to go out and ask permission of businesses to paint store windows orange, generating SHSU spirit.""We're hoping that the businesses and the students become better acquainted with this effort, too,"" said Hayes.Saturday events will begin at 7:30 a.m. with a 5K Raven run in the HKC. At 8 a.m. in Austin Hall, there will be an Alumni Coffee in which all are encouraged to come and have coffee. ""We hope to have tons of people turn out at Austin Hall,"" said Price.The parade will begin at 9 a.m. and will start at Bowers Boulevard, travel down Sam Houston Avenue, turn right on 12th Street and end at the Regent parking lot. Following the parade is the traditional home game concert and tailgate party at noon with food, games and entertainment at Bowers Stadium. The game is at 2 p.m. when SHSU takes on McNeese State.""Again, I think the committees objective is to encourage a lot of student participation as well as alumni,"" said Hayes."
Sigma Tau Gamma receives awards,Houstonian: Sam Houston State University,"January 1, 1970 Thursday","The chapter received the Most Improved Chapter award at the conclave. Scott Magee, the president of Sigma Tau Gamma, received the leadership award, and Cheryl Thomas, Sigma Tau Gamma White Rose, received the ""Best White Rose"" award.Cashion said these awards are highly sought after and the competition is very steep. ""There were chapters from Arizona, Texas, Louisiana and Mississippi who were nominated for these awards, "" Cashion said. ""But our chapter won, and that is a great triumph."" Cashion said the chapter members have been working very hard doing various community service projects and their tireless have efforts paid off.Cashion also said this is the perfect time for people to know about the fraternity's awards and activities. ""A lot of things have been going on lately with fraternities, and these guys have done considerable community service projects and are showing people that fraternities are not about having parties and drinking,"" Cashion said. One of the community service projects the fraternity did in the fall was called ""Cabin Fever."" The members helped transport an old, run-down log cabin to the town square, disassemble it and then rebuild it. Cashion said the fraternity members have really turned the chapter around. ""They have higher GPAs and the awards have definitely boosted their sense of accomplishment,"" he said.Cashion said the fraternity members are good examples of what college students should be like. ""They are hard workers, involved in the community, and are having fun while getting an education,"" Cashion said. ""That's what the college experience is about."""
"Businesses kick off ""Spirit of Huntsville"" food drive benefiting Good Shephard Mission",Houstonian: Sam Houston State University,"January 1, 1970 Thursday","""Recent events have prompted all of us to remember to pitch in and help those around us,"" said Brooke Addams, KSAM/Oldies Radio 1490 operations manager.The community can make non-perishable food donations at Brookshire Brothers on 11th Street and Normal Park from 3 p.m. to 8 p.m. on Saturday and from 9 a.m. to 3 p.m. on Sunday.Addams said the goal is to raise enough food to last through the holidays and into 2002. KSAM morning radio personality Kooter Robertson will be counting on the community to come through. Of all KSAM radio personalities, listeners voted for him to go ""Sky High for Hunger"" and be hoisted into the air on a cherry picker andheld hostage until the goal is reached. Except for the occasional bathroom break, he will not be allowed to come down.""That's the fun of it! People can come out and see Kooter in the cherry picker and feel sorry for him,"" Addams said. ""But the reality of it is that the 'pain and inconvenience' he's undergoing for two days is small compared to the pain of hundreds of our neighbors and their children going through the holidays with empty stomachs. No child deserves that.""Addams is confident the community will come through and Robertson will be released.""We never considered not reaching our goal, so there's no 'Plan B,'"" she said. ""But we'll be nice enough to let him down.""The food drive kicked off Nov. 10 by accepting donations at the ""Fire Up the Bearkats"" Tailgate Party, which collected almost $200 plus about 200 cans of food, Addams said.She added that she is excited other members in the community heard about the food drive on the radio and decided to help. Pizza Pro will supply food to volunteers and will accept non-perishable food donations when making deliveries.The newly crowned Miss Walker County, Crystyl Swanson, Miss Sam Houston-Huntsville, Sabrina Markle and Miss Teen Walker County Cassie Fausett will be there helping out and autographing pictures. Also, the Davy Crocket Riders will make an ""entrance"" and a donation Saturday.For more information call KSAM/Oldies Radio 1490 at 295-2651."
The days of integration,Houstonian: Sam Houston State University,"January 1, 1970 Thursday","Baker was the first speaker in a new lecture series hosted by the Academic Support Programs of the SAM Center at Sam Houston State University. The series is entitled, ""Grassroots: Conversations on Leadership in a Diverse Community."" Baker's presentation was held last night in the Olson Auditorium in Academic Building 4.Baker told stories about how he spread awareness of the importance of voting for black citizens and how he helped to change SHSU from an all-white, segregated school to a fully integrated university.As a young man, Baker was allowed to work the voting polls as a poll watcher after much opposition. Baker said the chairman of the party opposed him working at the poll, and told him he was not qualified to do it. However, this did not stop Baker from fulfilling his dream.""There is no need to be afraid of the opposition because often they are cowards themselves,"" he said.Eventually, Baker was sworn in as a poll watcher, and helped the voting staff to identify the blind, bedridden and disabled people who would not normally vote without assistance.""We voted all kinds of people,"" he said.Baker said he began to notice that the number of blacks voting was slim compared to the population of blacks in the community. He said the population consisted of 42 percent, which was about 2,000 people. He said there were normally only about 12,000 to 15,000 who actually voted.""The voting system was so controlled that many of my people believed that their votes did not count,"" Baker said. ""The solution was to get them to start voting.""Baker said when the Supreme Court issued a law saying that black people would be able to vote in the primaries, the elections where the main decisions were made, things began to change.""We organized many people,"" Baker said. ""As leaders, we are to find out who and where our followers are.""Baker said he invited 40 people who were leaders in the community to a meeting where they would decide how to persuade the black population to vote.""Every one of them promised they would attend,"" Baker said. ""However, only eight were in attendance, including me. I talked with the people that were there, and told them that we needed to make a difference.""It saddened me that I fought overseas for a democracy I could not come home and participate in. If something didn't change, my children were not going to be able to participate, either,"" he said.Baker said he sent the leaders who attended the meeting to talk to the ones that did not attend so the vision would be spread across the community. He said as a result, 65 percent of the black population voted during the next election.Baker told students and faculty, ""Don't let anyone tell you that your vote doesn't count. The only way it doesn't count is when you choose not to participate.""Baker not only spread awareness for black citizens to vote in Huntsville, he also played a large role in the integration of Sam Houston State University.Baker partnered with the NAACP in a lawsuit against SHSU in the early '60s and the Supreme Court immediately made a decision to integrate the university after an article concerning the suit appeared in the Houston Chronicle. In 1964, the Supreme Court passed legislation to integrate SHSU and the surrounding institutions. and the first black student to attend the university was John Patrick.""I feel so proud when I stop at a stop light on the campus grounds and see the spectrum of students that walk along the crosswalk,"" Baker said. ""That is my payback.""Baker also encouraged students to get the most out of their education.""Don't just sit in class and get by,"" he said. ""Learn what it takes to develop yourself.""Students who attended Baker's presentation said he was an inspiration to them.""Mr. Baker was very interesting to listen to,"" freshman Katie Wogen said. ""It is always great to learn more about the history of Sam Houston State.""""Mr. Baker reminds me of another great leader, E.D. Nixon,"" freshman Josselyn Kennedy said. ""Baker and Nixon are two men that saw how important the gathering of the black community was when standing against segregation.""Recently, the House of Representatives of the 77th Texas Legislature passed a resolution honoring Baker and the many contributions he has made.The resolution states, ""The House of Representatives of the 77th Texas Legislature hereby honor Wendell Baker, Sr., on his lifetime of contributions to the Huntsville community and the State of Texas and extend to him sincere best wishes for happiness and good fortune in his future endeavors. Mr. Baker has had a positive impact on countless people, and it is most appropriate to pay tribute to him."""
Education officials to launch new college campaign,Houstonian: Sam Houston State University,"January 1, 1970 Thursday","Frank Parker, associate vice president for Student Services, will be the keynote speaker at the event in Huntsville.Trevor Thorne with SHSU Admissions, and student Erica Susilier will also speak.Four million dollars of the total $5 million state funding is earmarked to research a target audience and launch a mass media campaign to get the message of higher education to the citizens of Texas.""Mainly, we're targeting first generation students, especially in the Hispanic and African-American communities,"" White said. ""Although the number of secondary education students in these groups is growing, the percentage in comparison to population growth rate is dropping.""Partnerships are also being formed with various community service and faith-based organizations to implement permanent programs at the community level.""We have dozens of dozens of partners...hundreds statewide, of faith-based organizations, public schools, the United Way, Girl and Boy Scouts and many others,"" White said.According to campaign literature, one million Texans are enrolled in higher education, which represents about 5 percent of the state's total population. This is lower than rates in New York, California, Michigan and Illinois.If current trends continue, the annual household income of Texans will drop an estimated $30 to $40 billion by 2030. This could have disastrous consequences for both Texas families and the state's economy.""We are offering a $500 mini-grant to any community organization to outreach and to take on the higher education message. Information is available on our Web site,"" White said.The marketing part of the effort will include a massive media campaign; the outreach portion will help establish the network of partners to inform and motivate citizens to pursue higher education.Information will also be provided on various forms of funding available to secondary education students.Supporters of the campaign believe that higher education maximizes available life-choices and is attainable and affordable. Through research, advertising and grassroots outreach, they hope to motivate students and those who influence students."
RTV Department olds toy drive,Houstonian: Sam Houston State University,"January 1, 1970 Thursday","""We just want to do something for the community,"" said Rosati. ""Radio is not just for entertainment, but to help the community as well.""The RTV toy drive started on Nov. 9 and is looking for ""gently used or new toys"" or monetary donations to help families at the mission, located at 1001 Ave. F in Huntsville. However, donations so far are below expectations explained Rosati. People have donated, but not a whole lot she said, speculating that events surrounding Sept. 11 may be keeping some from donating.The toy drive put on by RTV is part of a larger, community-based effort to supply needy families with Christmas gifts for their children.""We've been doing this for 13 years,"" said Rev. Jerome Brimmage, pastor for Wesley United Methodist Church, which handles the distribution of the toys every year.""People will begin to line up around 2 a.m. to 3 a.m. the morning before the giveaway,"" said Brimmage.This year the giveaway will be held on Dec. 15 from 8 a.m. to 11 a.m.""We also give hot chocolate and cookies to people standing in line,"" Brimmage said.In order to be eligible to receive the toys, families must be signed up with The Good Shepherd Mission, which was created by the Minister Alliance to serve the community, explained Brimmage.The overall project, called Santa's Helpers, provides about 350-400 children with toys for Christmas. ""We have boxes around town,"" said Brimmage, ""and Wal-Mart helps out a lot, as well as other churches. Wiesner also helps out with a bicycle drive. ""About 2000 toys are usually gathered annually said Brimmage, with the children receiving about five to six toys each.Brimmage, who has been here for four years, said the day of the giveaway is total joy.""I talked to children before and after they came in. When they left,"" he said, ""they were grinning from ear to ear.""Toys are given out according to the age of the child, with the most popular toys being stuffed animals, Barbie dolls, and bicycles, which have a waiting list. Brimmage said they're typically low on toys for their oldest age group, the 10- to 14-year-olds.To drop off toys to the RTV department, stop by Room 123 of the Dan Rather Building, said Rosati, who can be reached at 294-1342 for more information."
"Theater opens in downtown Huntsville, showing movie this weekend",Houstonian: Sam Houston State University,"January 1, 1970 Thursday","One hundred thousand dollars was raised to match a challenge grant from Lu Ellen Gibbs and Mary Laura Gibbs, enabling the group to purchase the building, which would be the new home for the Huntsville Community Theatre, on Oct. 1, 1998.Serious renovations had to be made due to the condition of the theater. A program guide from the theater's open house gives the details of its history.""The Town Theatre began its operation as motion picture venue in 1947 and continued showing movies of all kinds until 1974 when it closed its doors as a movie house. A variety of personality changes occurred after 1974 as the facility served as a broom and mop manufacturing site, a traffic light assembly plant, and finally Pokey's Beer Parlor that was 'open air' as result of a paint booth fire in the assembly operation. During the open-air period, Town Theatre served as home for hundreds of downtown Huntsville's thriving pigeon population.""So far, Myrick said the theatre is so new only a few shows are scheduled in the near future.For its first live performance feature, the theater will show ""The Magic Flute"" presented by the SHSU School of Music. The performance is scheduled for March 21 and 22 at 7:30 p.m. Regular admission is $8 and $6 for students, senior citizens and children. On April 13, the SHSU Chamber Orchestra will perform, said Myrick, and then on April 25, the Huntsville Youth Orchestra will play.In the first week of May, the Huntsville Community Theatre will open the season at its new home with ""Nunsense,"" a musical comedy by Dan Goggin.On May 24 and 25, students from Huntsville public schools will put on a performance. Also starting in May, Odgen's Country Jubilee, a music group will begin to perform regular shows the third Saturday of every month.""That about all we've got planed for now,"" Myrick said.According to Myrick, the theater has 350 seats, including a balcony of 100 seats. Films will be played using a DVD projector.Saturday's showing of ""He Was Houston"" is free and open to anyone who would like to attend.The documentary is the conclusion of a series of events planned for March 2 all over Huntsville celebrating Sam Houston's birthday, which includes a march and a series of presentations."
Kaldi's cuts the ribbon for grand opening,Houstonian: Sam Houston State University,"January 1, 1970 Thursday","Kaldi's Coffee House, located at 1627 Sam Houston Ave, opened its doors on April 1. Following the ribbon cutting yesterday, a grand opening ceremony for the entire Huntsville community will be held on May 1.Huntsville-Walker County Chamber of Commerce President Dee McFarland was on hand along with other Chamber members to witness the ceremony.""I think it's exciting, we've been looking for something like this for a long time,"" McFarland said. ""We love how they refurbished the building, and totally revitalized the property that was here.""McFarland said Huntsville is happy to have Kaldi's as a new business in the city.""We welcome them as a new business to town, and we hope everyone stops by to get a coffee,"" McFarland said.Kaldi's gets its name from a story concerning an Ethiopian goat herder named Kaldi who supposedly discovered coffee beans after noticing his goats were more energetic after grazing on strange beans.The coffee shop is owned and operated by Rick Francis along with his wife Indiana.Francis said he wanted to open the coffee house in Huntsville because he saw a demand for one in the community. He added that he hopes Huntsville residents will use Kaldi's as a place to meet and discuss subjects, issues and other interests.""We want everyone to feel like this is a second home,"" Francis said.The coffee shop is located in the building that housed former businesses such as Bad Boys Burritos and Angelo's Pizza. Despite the closings of previous restaurants in the location, Francis said he feels Kaldi's will be successful.""We're very confident and optimistic in our location,"" Francis said. ""We believe this is the right location for a coffee house.""Francis said he has made numerous improvements to building, such as installing more windows and lights, as well as other renovations to the plumbing system and parking lot. The kitchen area and counter have also been moved further back to allow more space in the middle of the coffee house for customers.Also, Francis has installed a patio behind the building where coffee shop customers can go to drink their beverages in a quieter atmosphere. The patio features tables and seating and also has a mural painted along the back wall which was drawn by SHSU art major Kathy Gould.Francis said the total cost for renovation and furnishing the coffee shop came to about $100,000.Francis said the coffee shop has been popular so far, and there is every indication that the business will do just fine. Along with serving coffee and other beverages, Francis said Kaldi's is very open to poetry readings and acoustic music performances. While there are currently no set plans, he said many people have inquired about having such events at the coffee house.Sophomore Zara Porter works at Kaldi's and said it was the coffee business itself that encouraged her to seek employment at the coffee house.""I saw an article in The Houstonian, and I thought I'd like to work in a coffee house because I like coffee and I like the environment of coffee shops,"" Porter said. ""I thought it would be fun.""Francis said he looks forward to the future of Kaldi's in Huntsville.""We really appreciate everyone's support; faculty, students and staff and the community,"" Francis said. ""We really enjoy being part of the Huntsville community."""
Plans set for facility additions,Houstonian: Sam Houston State University,"January 1, 1970 Thursday","The College of Business Administration is planning to create a new addition to the Smith-Hutson Business Building that will roughly double its existing workspace.R. Dean Lewis, dean of the College of Business Administration, said the construction would extend to the parking lot south of the building, and create new faculty offices and classroom space. A new auditorium that will hold 158 people will also be added next to the existing Ronald P. Mafrige Auditorium.""We have faculty in three buildings; we have classrooms in two,"" Lewis said. ""We're out of space; that's why we're getting the additions.""The Smith-Hutson Building currently has 45,000 square feet of workspace, but the construction will add an additional 42,000 square feet. The project will cost approximately $38.5 million, and should begin next year.""""It's expected to start by January of '04,"" Lewis said. ""We should be in the building by fall '05.""Lewis said the project is still in the planning phases, particularly the architectural aspects. The locations of columns, lights, computer ports and podiums still need to be decided. He said the actual office spaces and classrooms are pretty much set.The College of Business Administration originally planned to renovate the existing building, but after consulting the projected growth estimates for the college, decided new space was needed. The addition will be three stories tall with all floors accessible from the existing building.The first and third floor will be mostly classroom space, and the second floor will be primarily faculty offices. There is also room set aside for departmental suites, student and teacher lounges and study areas. When completed, the additions will allow for 14 extra classrooms and 38 new offices, allowing most of the faculty and students to be centralized in one building.""We're going to get everyone together,"" Lewis said. ""The faculty and classes in one building. We need the classes very badly.""Lewis added that with the current growth rate, the additions would probably keep the university's business students and faculty satisfied for the next eight to 10 years, and that extra space will probably still be reserved in Academic Building One to accommodate extra students.""I think we will continue our growth trend, which will benefit the college and the university,"" Lewis said.Also scheduled for renovation is the Teacher Education Center, which will have a new wing added to help accommodate facilities for a new doctorate program in counseling education now offered by SHSU.Genevieve Brown, dean of the College of Education and Applied Science, said the college was planning to add the new doctorate program even without the new space, but will take advantage of the new space to house the needed facilities.""It will have a clinic where doctoral and master's students will counsel members of the community,"" Brown said. ""Children, teenagers and family, a free service to the community.""The funds for the project came from a fund designated for construction purposes. Brown said the project is still in a bid process, but that construction will probably begin in late spring and the new facility won't be operable before spring 2004.The new extension will head out towards Johnson Coliseum. Brown said the college's new wing would help expand the amount of clinical help the college provides to the Huntsville community.""We do it now on a limited basis, but now we'll be able to meet new needs in the community,"" said Brown."
Folk singer Ari Hest to perform at Lowman Student Center Friday,Houstonian: Sam Houston State University,"January 1, 1970 Thursday","The talented folk singer has traveled on tour with big name musicians, opening for artists such as Dave Matthews and John Mayer,Hest is now on his own national tour promoting his new, recently released album, ""Story After Story.""After stops in Dallas and Austin, the tour stops at SHSU. Hest's stop in Huntsville will mark his second trip to town. He previously played Huntsville in September 2002.The concert is being brought to SHSU by the Huntsville Concert Series, an organization developed in 2002 with the purpose of bringing a variety of different entertainers to the city of Huntsville from around the country and giving the local community a wider variety of culture.The goal of the concert series is to offer exceptional talent at an affordable price without forcing residents to leave Huntsville.The organization is ready and eager to hear from the community through comments, questions, constructive criticisms or requests. Concert organizer Andy Slaughter can be contacted via e-mail at [email protected]Both excited and enthusiastic about the upcoming concert, Slaughter said Hest's concert will be only the beginning of many great events in the future.Slaughter said the concert will be good not only for SHSU, but also for the entire community of Huntsville.""He is an exciting talent. Having played across the country should show that he is in high demand,"" Slaughter said. ""The fact that tickets are only $2 means there is no reason why students should not go.""Despite the attention this concert is getting, plenty of people have been working around the clock to organize and plan this event. Slaughter would like to extend several thank you's to several people.""All this would not be possible without the help of Huntsville's Promise, a local non-profit organization. I would like to send a big thank you to all the street-team members for helping me promote this,"" Slaughter said.All tickets for the concert will be sold for $2 each at the door. With such a cheap price, Slaughter and organizers are hopeful a large number of SHSU students will turn out to hear the live music.Organizers promise this will be the best-spent $2 you ever spent.With many people expecting a great turnout, Slaughter said those wanting tickets should arrive at the event early.For more information regarding the Huntsville Concert Series, visit the Web site at www.huntsvilleconcertseries.com."
